name,score,smiles,inchikey,source,mw
Ergocalciferol,0.78,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,MECHNRXZTMCUDQ-RKHKHRCZSA-N,NAFLDkb_investigational,396.66
Estradiol,0.78,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,VOXZDWNPVJITMN-ZBRFXRBCSA-N,NAFLDkb_investigational,272.39
Evogliptin,0.78,CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,LCDDAGSJHKEABN-MLGOLLRUSA-N,NAFLDkb_investigational,401.43
Ezetimibe,0.78,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,OLNTVTPDXPETLC-XPWALMASSA-N,NAFLDkb_investigational,409.43
FTZ,0.78,Fc1cccc(Cl)c1CNc1n[nH]c(-c2ccco2)n1,AHOHWELPUXLPOF-UHFFFAOYSA-N,NAFLDkb_investigational,292.7
Fenofibrate,0.78,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,YMTINGFKWWXKFG-UHFFFAOYSA-N,NAFLDkb_investigational,360.84
Fenretinide,0.78,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,AKJHMTWEGVYYSE-FXILSDISSA-N,NAFLDkb_investigational,391.56
Firsocostat,0.78,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,ZZWWXIBKLBMSCS-FQEVSTJZSA-N,NAFLDkb_investigational,569.64
Flaxseed,0.78,COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,MJYQFWSXKFLTAY-OVEQLNGDSA-N,NAFLDkb_investigational,542.58
Fluconazole,0.78,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,RFHAOTPXVQNOHP-UHFFFAOYSA-N,NAFLDkb_investigational,306.28
Folic acid,0.78,Nc1nc2[nH]cc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)nc-2c(=O)n1,OVBPIULPVIDEAO-LBPRGKRZSA-N,NAFLDkb_investigational,441.4
Fructose,0.78,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO,BJHIKXHVCXFQLS-UYFOZJQFSA-N,NAFLDkb_investigational,180.16
Fucoidan,0.78,C[C@@H]1O[C@H](C)[C@@H](O)[C@H](O)[C@@H]1OS(=O)(=O)O,NLMDZXKCTWKRSQ-IBISWUOJSA-N,NAFLDkb_investigational,242.25
GB1211,0.78,OCC1OC(Sc2cncc(Br)c2)C(O)C(n2cc(-c3cc(F)c(F)c(F)c3)nn2)C1O,FNCLKJPMEFPXOR-UHFFFAOYSA-N,NAFLDkb_investigational,533.33
Garlic,0.78,C=CCS(=O)CC(N)C(=O)O.C=CCSS(=O)CC=C,NEVNZJWAVFPOQZ-UHFFFAOYSA-N,NAFLDkb_investigational,339.5
Gemcabene,0.78,CC(C)(CCCCOCCCCC(C)(C)C(=O)O)C(=O)O,SDMBRCRVFFHJKR-UHFFFAOYSA-N,NAFLDkb_investigational,302.41
Gemfibrozil,0.78,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,HEMJJKBWTPKOJG-UHFFFAOYSA-N,NAFLDkb_investigational,250.34
Genistein,0.78,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,TZBJGXHYKVUXJN-UHFFFAOYSA-N,NAFLDkb_investigational,270.24
Ginger,0.78,CCCCC/C=C/C(=O)CCc1ccc(O)c(OC)c1.CCCCCC(C)CC(=O)CCc1ccc(O)c(OC)c1,QCVRFSPGUWEKFC-ILHSMLOTSA-N,NAFLDkb_investigational,568.8
Ginseng,0.78,CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(CO)C(=CCC4C5(C)CC(O)C(O)C(C)(C(=O)OC6OC(CO)C(O)C(O)C6O)C5CCC43C)C2C1,YDQIRODFTJGGMP-UHFFFAOYSA-N,NAFLDkb_investigational,842.97
Gliclazide,0.78,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1,BOVGTQGAOIONJV-UHFFFAOYSA-N,NAFLDkb_investigational,323.42
Glimepiride,0.78,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,WIGIZIANZCJQQY-RUCARUNLSA-N,NAFLDkb_investigational,490.63
Glucomannan,0.78,OC[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)C1O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H]1O,LUEWUZLMQUOBSB-FSKGGBMCSA-N,NAFLDkb_investigational,666.58
Glucophage,0.78,CN(C)C(=N)NC(=N)N.Cl,OETHQSJEHLVLGH-UHFFFAOYSA-N,NAFLDkb_investigational,165.63
Glutathione,0.78,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,RWSXRVCMGQZWBV-WDSKDSINSA-N,NAFLDkb_investigational,307.33
Growth Hormone,0.78,O=C(O)c1ccc(O)c(O)c1,YQUVCSBJEUQKSH-UHFFFAOYSA-N,NAFLDkb_investigational,154.12
Guanabenz,0.78,NC(N)=NN=Cc1c(Cl)cccc1Cl,WDZVGELJXXEGPV-YIXHJXPBSA-N,NAFLDkb_investigational,231.09
HPN-01,0.78,NC(=O)c1cc(-c2ccc(Cl)cc2)cc(-c2ccc(S(N)(=O)=O)cc2)c1N,XJLFMRGTLRIXDT-UHFFFAOYSA-N,NAFLDkb_investigational,401.88
